Date;SO;GS;IS
2007-09-25;109670;88369;85518
2007-09-26;71848;57028;44633
2007-09-27;70227;79464;78189
2007-09-28;54358;52365;51697
2007-09-29;0;398;0
2007-10-01;382422;53735;54208
2007-10-02;44893;77184;61721
2007-10-03;52240;39937;39818
2007-10-04;80260;61013;55876
2007-10-05;66539;88375;80703
2007-10-06;0;1046;0
2007-10-08;41431;72616;67330
2007-10-09;51173;44578;44961
2007-10-10;43503;34853;31538
2007-10-11;50618;62750;72052
2007-10-12;78325;74943;64210
2007-10-13;0;576;0
2007-10-15;106516;77749;80310
2007-10-16;62371;98150;67442
2007-10-17;63565;45195;41342
2007-10-18;74982;63490;60239
2007-10-19;71460;97727;110364
2007-10-20;0;405;0
2007-10-22;54089;67570;59537
2007-10-23;49556;52065;51013
2007-10-24;61096;43227;42701
2007-10-25;53043;76023;74192
2007-10-26;49145;60998;61770
2007-10-27;0;424;0
2007-10-29;65051;70274;67869
2007-10-30;34474;46981;47547
2007-10-31;93828;53590;50681
2007-11-01;37938;48590;47929
2007-11-02;47098;55211;48689
2007-11-03;0;210;0
2007-11-05;58458;66537;59357
2007-11-06;35154;52706;50949
2007-11-07;46034;40322;40399
2007-11-08;35827;49056;45492
2007-11-09;48718;47610;41350
2007-11-10;0;92;0
2007-11-12;57870;45367;46594
2007-11-13;66399;53251;48853
2007-11-14;48825;51616;51664
2007-11-15;91815;71957;67520
2007-11-16;42937;60432;58264
2007-11-17;0;135;0
2007-11-19;45044;48111;47997
2007-11-20;92519;44042;63598
2007-11-21;173084;59745;57504
2007-11-22;66923;67095;57511
2007-11-23;52437;77706;64155
2007-11-24;0;129;0
2007-11-26;117297;64962;64756
2007-11-27;60699;45200;48842
2007-11-28;90453;107845;86525
2007-11-29;33792;50967;49555
2007-11-30;63599;70309;65433
